Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
85	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	9468.599314	9462.682479	301919	25	31	96	0.998248	0.990343	1	251.251	3.209	0.32294	26	364.996674	365.457642	0.761440	0.761440	0.0319326
86	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	10302.754150	10296.323513	96645.8	22	27	87	0.987369	0.98715	0.997227	14.3728	98.633	0.647235	23	448.673584	449.283356	0.919844	0.919844	0.000918274
87	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	11032.675919	11025.813295	67091.3	21	24	61	0.996471	0.997036	1	13.2918	145.892	0.53098	21	526.094849	526.714172	0.947289	0.947289	0
88	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	11354.844515	11347.795343	20414.3	16	18	47	0.989864	0.982914	1	0.139898	107.824	0.756787	16	710.244568	711.183655	0.961671	0.961671	0
89	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	12414.263603	12406.516972	36781.2	17	20	53	0.946931	0.98705	0.997756	0.879848	388.415	1.63463	17	730.803528	731.745728	0.877193	0.877193	0.013804
90	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	12968.614725	12960.527898	82267.2	15	19	82	0.988523	0.998041	1	150.559	2673.15	0.43909	18	721.036316	721.983154	0.946325	0.946325	0
91	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	13026.897370	13018.770787	89337.9	7	16	161	0.980312	0.992165	0.996646	77.0194	664.005	1.0509	15	868.925903	870.061096	0.912128	0.912128	0.00680188
92	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	13027.888072	13019.761488	13737.7	5	8	67	0.946389	0.96422	1	152.43	139.277	0.510028	8	1628.476074	1630.607056	0.628854	0.628854	0.0599642
93	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	13201.070679	13192.841588	755487	15	22	142	0.997199	0.997384	0.936307	271.277	2016.39	0.449565	19	695.367249	696.263794	0.949803	0.949803	0
94	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	13396.117245	13387.753146	385960	11	23	207	0.996162	0.999581	0.897094	112.564	12643.1	0.961041	20	670.444885	671.246704	0.975248	0.975248	0
95	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	2	nan	0	60.000000	35	13467.987265	13459.597780	19040.5	20	23	65	0.977686	0.969302	0.989257	7.36123	164.867	0.64618	21	641.990906	642.751709	0.918164	0.918164	0.00177936
